plant _id	mean_vessell diameter	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	9.810266667	9.899	12.806	8.944	14.422	13.038	11.705	13.416	6.403	8.944	7.071	6.403	9.434	9.899	8.062	6.708	N/A	N/A	N/A	N/A	N/A
2		N/A(no pointer)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
3	8.210588235	12	12.166	13	5	9	8.544	8	4	7	6	10.05	5	6.083	6	7.28	11.402	9.055	N/A	N/A	N/A
4	8.924533333	9.487	14.142	9	12.166	11	15.133	13.038	5.385	5.099	5	12	8.062	7.071	3.162	4.123	N/A	N/A	N/A	N/A	N/A
5	5.586875	5	4	4.123	5.099	7.28	3.162	2	8.944	6	6	7.616	6.083	5	8	6.083	5	N/A	N/A	N/A	N/A
6	4.957066667	7.106	2.062	3.202	12.379	9.22	4	4.5	5.59	3.64	3.64	3.041	3.905	3.5	6.021	2.55	N/A	N/A	N/A	N/A	N/A
7	11.6964375	10.05	13.342	16	5	4	9.899	8.944	9.434	14	12.53	8.602	20.224	18.601	12.083	9.434	15	N/A	N/A	N/A	N/A
8	10.16666667	15.556	7.211	7.616	6	14.318	20.125	5.099	6.403	11.402	13.153	4.123	8.246	10.05	13	10.198	N/A	N/A	N/A	N/A	N/A
9	5.286	10	9	5	7.28	5.099	5	5	3.162	3.162	1.803	3.64	N/A(images hard to see after this)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
10	5.506076923	5.701	9.925	7.071	3.808	6.364	2.828	3.536	3.536	3.536	4.528	11.715	5	4.031	N/A	N/A	N/A	N/A	N/A	N/A	N/A
11	5.142125	10.966	4.472	4.717	6.403	2.693	5.5	6.708	4.61	3.905	2.915	3.536	5.315	3.606	5.148	4.5	7.28	N/A	N/A	N/A	N/A
12	8.186583333	10	10.296	10.77	7.071	4.472	4.472	10.108	9	10.05	7	6	9	N/A(images hard to see after this)	N/A	N/A	N/A	N/A	N/A	N/A	N/A
13	4.707842105	4.243	4.301	3	2.915	3.5	3.5	5.5	6	4.61	7.382	3	6.103	5.852	7.071	6.519	5.59	2.062	5.099	3.202	N/A
14	5.682125	5.099	4.123	8.062	6	4.472	3.162	6.083	7.071	4	8	6	8.062	4.123	6	5.657	5	N/A	N/A	N/A	N/A
15	7.071117647	17.205	8.544	6.325	7.071	3	7.071	6.325	10	7.28	7.616	5.385	5.099	4.472	6.325	6.325	6.083	6.083	N/A	N/A	N/A
16	9.511769231	11.705	9.22	4.472	10.198	10.198	12.728	7	10.77	8.246	8	10	15.033	6.083	N/A	N/A	N/A	N/A	N/A	N/A	N/A
17	N/A	N/A(looks burnt)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
18	N/A	N/A(black background/hard to see)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
19	2.616	6.2	5.676	4.333	3.682	2.603	1.374	2.357	1.374	1.054	2.028	1.7	2.357	1.333	1.795	1.374	N/A	N/A	N/A	N/A	N/A
20	4.257333333	5	4.272	3.5	N/A(two possible on left side of pointer but fuzzy)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
21	4.959941176	6.403	5	4	3	7.211	2.236	7.81	7.28	8.485	5.099	8.062	3.162	2	2.236	5	2.236	5.099	N/A	N/A	N/A
22	4.108933333	6.103	6.801	2.236	4.472	5.385	3.905	3.162	2.915	3.162	2.55	4.472	2	5.831	5	3.64	N/A	N/A	N/A	N/A	N/A
23	9.9272	9.899	7.81	4.472	6.083	13.928	9.434	10.269	8.944	4.211	11.18	8.944	11.18	15.297	5.657	8.485	7.81	14.213	13.454	12.042	15.232
24	7.20845	10.198	6	2	6	8.062	6.403	5.099	1.414	5	3.606	9.22	8.544	4.243	5.385	9.22	10	10.63	13	9.849	10.296
25	6.362052632	9.487	8.062	4.472	3.162	6.325	8.602	7.616	11.314	8.246	5.831	2.236	8.062	7.616	4.123	7.071	5.099	6.083	4.472	3	N/A
26	9.683526316	14.56	20.396	11.045	5.831	4.123	11.402	10.44	7.071	5	4	10	7.071	8.062	10	11.662	10.817	8.544	12.649	11.314	N/A
27	3.8673	7.616	4.472	3	2	1.414	1	2.828	3	4.123	9.22	N/A(blurry + dark background)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
28	7.190733333	7.211	7	8	8.246	7.81	13.342	8.062	10.05	10.198	3.162	5	5.657	5	4.123	5	N/A	N/A	N/A	N/A	N/A
29	N/A	N/A(blurry/red background +possibly 2)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
